Stream,Did everything go well with your A/L exams?,Maths,Science,Religion,English,Sinhala or Tamil,History,Basket I,Basket II,Basket III,Favorite Subject,Career
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,B,A,A,maths,Other
Commerce,"Mostly, but I faced some challenges",C,C,B,B,B,B,A,B,B,commerce,Businessman
Physical Science,"Mostly, but I faced some challenges",A,C,A,C,A,A,A,C,B,maths,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,B,B,A,maths,Engineer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Medical Industry
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,maths,Engineer
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,A,A,maths,Aviation
Bio Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,A,A,maths,Food Scientist
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,B,B,C,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,C,A,C,B,B,C,A,B,ict,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,B,A,B,A,A,C,A,maths,Aviation
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,B,C,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,B,B,A,B,B,maths,IT/ Software Developer
Commerce,"No, I had difficulties",B,B,A,A,B,C,B,B,B,commerce,Businessman
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,C,A,maths,Engineer
Physical Science,"No, I had difficulties",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,C,C,A,maths,Engineer
Arts,"Yes, everything went well",S,S,B,S,B,B,B,B,A,science,IT/ Software Developer
Commerce,"Yes, everything went well",C,C,A,S,B,C,A,B,C,commerce,Businessman
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,B,B,A,maths,Engineer
Technology,"No, I had difficulties",C,C,A,C,B,A,C,B,C,ict,IT/ Software Developer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,B,C,A,science,Medical Industry
Technology,"Yes, everything went well",B,A,B,A,C,C,C,C,C,science,IT/ Software Developer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,english,Medical Industry
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,B,B,maths,Other
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Medical Industry
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Laboratary Side
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Food Scientist
Arts,"Mostly, but I faced some challenges",A,A,B,A,A,A,B,A,A,commerce,Other
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,B,B,maths,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",C,S,B,B,C,B,C,B,C,ict,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,Engineer
Arts,"Yes, everything went well",A,C,A,A,B,B,B,A,B,commerce,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,B,A,B,B,A,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,B,A,A,A,A,A,maths,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,maths,Finance
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,science,Designer
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,B,A,science,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,A,B,A,B,B,B,B,science,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,B,ict,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,C,A,A,A,A,A,C,B,french,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Other
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",A,A,A,A,B,A,A,C,A,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,B,maths,Medical Industry
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Physical Science,"No, I had difficulties",A,A,A,A,A,A,C,C,A,maths,Other
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,maths,Medical Industry
Physical Science,"Mostly, but I faced some challenges",A,A,C,C,C,A,C,B,B,history,Other
Physical Science,"Yes, everything went well",A,A,A,B,A,A,A,A,A,maths,Teacher
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,B,A,A,ict,Aviation
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,B,A,B,A,science,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,C,B,B,A,B,maths,Other
Physical Science,"No, I had difficulties",A,C,B,A,A,B,C,A,A,maths,Manager
Physical Science,"Yes, everything went well",A,A,A,B,A,A,A,B,A,maths,Engineer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Chemist
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,science,Medical Industry
Bio Science,"No, I had difficulties",A,A,A,A,A,A,A,A,S,science,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",C,C,B,A,B,B,C,B,B,geography,Teacher
Physical Science,"Mostly, but I faced some challenges",A,B,B,B,C,B,C,B,A,ict,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Aviation
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Other
Physical Science,"No, I had difficulties",A,A,A,C,A,B,A,B,A,maths,Businessman
Bio Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,A,A,maths,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Engineer
Technology,"Yes, everything went well",A,A,A,A,A,A,A,A,A,ict,Businessman
Technology,"No, I had difficulties",C,B,C,S,C,C,C,C,B,ict,Other
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,C,A,maths,Engineer
Arts,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,C,A,commerce,Lawyer
Physical Science,"Yes, everything went well",A,A,A,C,B,A,C,C,A,maths,Other
Physical Science,"Yes, everything went well",A,A,B,A,B,B,B,B,B,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Technology,"Yes, everything went well",B,B,C,C,B,B,B,B,B,ict,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",B,A,A,A,A,A,A,C,A,science,Lecturer/ Professor
Bio Science,"Yes, everything went well",A,A,A,B,A,A,A,A,A,science,Food Scientist
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,B,B,B,C,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,B,A,B,A,B,A,A,A,science,Other
Commerce,"Yes, everything went well",B,B,A,A,C,A,A,A,A,commerce,Sportsman
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,B,A,B,A,B,A,S,maths,IT/ Software Developer
Physical Science,"Yes, everything went well",A,B,A,C,A,A,A,A,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",A,B,B,A,B,B,A,C,A,science,Manager
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Engineer
Commerce,"Mostly, but I faced some challenges",B,B,B,B,B,C,C,C,C,science,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",B,B,B,C,A,A,A,A,A,science,Lecturer/ Professor
Bio Science,"Yes, everything went well",A,A,A,C,A,A,A,A,A,science,Teacher
Physical Science,"Mostly, but I faced some challenges",A,B,A,B,B,C,C,S,B,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,C,B,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,B,B,A,A,science,Chemist
Physical Science,"Mostly, but I faced some challenges",A,B,A,B,A,A,B,B,B,maths,Engineer
Bio Science,"Mostly, but I faced some challenges",A,B,A,C,B,A,A,B,B,maths,Other
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,C,A,ict,IT/ Software Developer
Physical Science,"No, I had difficulties",A,A,B,A,C,A,B,A,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,C,A,B,A,B,B,B,B,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,science,Lecturer/ Professor
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,B,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",C,A,A,A,A,A,A,S,A,science,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,tamil,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,C,A,A,maths,Engineer
Commerce,"Mostly, but I faced some challenges",C,B,A,A,A,B,A,A,A,commerce,Accountant
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",B,A,A,B,B,B,B,B,A,science,Engineer
Bio Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Medical Industry
Commerce,"Yes, everything went well",A,A,A,B,A,A,A,A,A,ict,IT/ Software Developer
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,B,A,maths,Engineer
Arts,"Mostly, but I faced some challenges",A,A,A,A,B,A,A,A,A,ict,IT/ Software Developer
Technology,"Mostly, but I faced some challenges",A,A,A,B,A,B,B,B,B,maths,Engineer
Physical Science,"No, I had difficulties",A,A,A,A,B,A,B,B,A,science,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,C,A,maths,IT/ Software Developer
Bio Science,"Mostly, but I faced some challenges",B,C,C,C,C,C,C,C,C,science,Other
Physical Science,"No, I had difficulties",A,A,A,B,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,B,A,A,A,A,A,B,A,maths,IT/ Software Developer
Arts,"Mostly, but I faced some challenges",B,S,B,A,A,C,C,C,B,french,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,B,A,A,A,B,A,maths,Engineer
Bio Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,B,A,science,Chemist
Commerce,"Mostly, but I faced some challenges",C,C,C,C,C,B,A,B,B,maths,Banker
Physical Science,"Yes, everything went well",A,A,A,A,A,A,A,A,A,maths,Lecturer/ Professor
Physical Science,"No, I had difficulties",A,B,A,A,A,A,A,B,A,maths,IT/ Software Developer
Physical Science,"Mostly, but I faced some challenges",A,A,A,C,A,A,A,A,A,maths,Engineer
Physical Science,"Mostly, but I faced some challenges",A,A,A,A,A,A,A,A,A,maths,IT/ Software Developer
Physical Science,"No, I had difficulties",A,B,B,B,C,B,B,C,A,ict,IT/ Software Developer
Arts,"Yes, everything went well",S,S,A,A,A,C,S,C,A,commerce,HR
